TimeStamp,Station.Number,Temperature
2001-05,6,19.92777778
2001-05,7,19.47833333
2001-05,8,19.19375
2001-05,9,19.092
2001-05,10,19.07125
2001-05,11,19.041875
2001-05,12,19.01625
2001-05,13,18.88
2001-05,14,18.26461538
2001-05,15,17.94434783
2001-05,16,17.39857143
2001-05,17,15.83461538
2001-05,18,14.51938776
2001-05,20,14.54592593
2001-05,21,15.62647059
2001-05,22,15.83631579
2001-05,23,16.38125
2001-05,24,16.823
2001-05,25,18.22666667
2001-05,26,18.6
2001-05,27,19.48071429
2001-05,28,19.704
2001-05,29,19.97071429
2001-05,29.5,20.23066667
2001-05,30,20.37769231
2001-05,649,20.822
2001-05,657,21.23
2001-06,2,22.45909091
2001-06,3,22.31214286
2001-06,4,22.57647059
2001-06,8,20.83333333
2001-06,9,20.4264
2001-06,10,20.45368421
2001-06,11,20.21578947
2001-06,12,20.03555556
2001-06,13,18.99111111
2001-06,14,18.23642857
2001-06,15,18.11130435
2001-06,17,16.06083333
2001-06,21,18.136875
2001-06,22,17.82611111
2001-06,23,19.23357143
2001-06,24,19.34444444
2001-06,25,19.69888889
2001-06,26,19.999
2001-06,27,20.45583333
2001-06,28,20.72
2001-06,29,20.97785714
2001-06,29.5,21.06785714
2001-06,30,21.37785714
2001-06,31,21.98538462
2001-06,32,22.44230769
2001-06,33,22.65846154
2001-06,34,22.915
2001-06,35,23.18222222
2001-06,36,23.24625
2001-06,649,22.49583333
2001-06,657,23.00666667
2001-07,2,20.63727273
2001-07,3,20.47333333
2001-07,4,20.20823529
2001-07,8,19.21466667
2001-07,9,19.23727273
2001-07,10,19.22944444
2001-07,11,19.40692308
2001-07,12,18.9
2001-07,13,18.30666667
2001-07,14,18.046
2001-07,15,17.92
2001-07,16,16.72714286
2001-07,17,16.89166667
2001-07,18,16.08022727
2001-07,20,16.70321429
2001-07,21,17.4075
2001-07,22,17.32944444
2001-07,23,18.13642857
2001-07,24,18.34
2001-07,25,18.71875
2001-07,26,19.00888889
2001-07,27,19.505
2001-07,28,19.894
2001-07,29,20.29133333
2001-07,29.5,20.42142857
2001-07,30,20.27615385
2001-07,31,20.48285714
2001-07,32,20.47461538
2001-07,33,20.57153846
2001-07,34,20.72625
2001-07,35,20.83
2001-07,36,21.03142857
2001-07,649,20.85818182
2001-07,657,21.194
2001-09,2,20.455
2001-09,3,20.285
2001-09,4,20.163125
2001-09,8,19.288
2001-09,9,19.08733333
2001-09,10,19.05294118
2001-09,11,18.95266667
2001-09,12,18.82777778
2001-09,12.5,18.65714286
2001-09,13,18.01090909
2001-09,14,17.76571429
2001-09,15,17.33391304
2001-09,16,16.31846154
2001-09,17,15.90461538
2001-09,18,15.24727273
2001-09,20,15.64923077
2001-09,21,16.49294118
2001-09,22,16.39842105
2001-09,23,17.058125
2001-09,24,17.64
2001-09,25,19.005
2001-09,26,19.27181818
2001-09,27,19.43083333
2001-09,28,19.80533333
2001-09,29,20.038
2001-09,29.5,20.26142857
2001-09,30,20.38714286
2001-09,31,20.64285714
2001-09,32,20.60333333
2001-09,33,20.65
2001-09,34,20.94125
2001-09,35,20.79375
2001-09,36,20.75
2001-09,649,20.29
2001-09,657,20.656
2001-10,2,18.734
2001-10,3,18.64153846
2001-10,4,18.65882353
2001-10,8,18.339375
2001-10,9,18.2592
2001-10,10,18.23789474
2001-10,11,18.133125
2001-10,12,18
2001-10,12.5,17.94
2001-10,13,17.88
2001-10,15,17.52
2001-10,17,16.44
2001-10,21,16.680625
2001-10,22,17.055
2001-10,23,18.03285714
2001-10,24,18.31333333
2001-10,25,18.54375
2001-10,26,18.49363636
2001-10,27,18.46833333
2001-10,28,18.65133333
2001-10,29,18.66466667
2001-10,29.5,18.81266667
2001-10,30,18.75714286
2001-10,31,19.05571429
2001-10,32,
2001-10,33,19.17846154
2001-10,34,19.22888889
2001-10,35,19.22555556
2001-10,36,19.245
2001-10,649,18.784
2001-11,2,13.839
2001-11,3,14.05727273
2001-11,4,14.06411765
2001-11,8,14.01785714
2001-11,9,13.94454545
2001-11,10,13.81722222
2001-11,11,13.86666667
2001-11,12,14.01
2001-11,13,13.837
2001-11,14,13.81466667
2001-11,15,13.80608696
2001-11,16,13.83142857
2001-11,17,13.73230769
2001-11,18,13.68560976
2001-11,20,13.8052
2001-11,21,13.53944444
2001-11,22,13.59052632
2001-11,23,13.684375
2001-11,24,13.8
2001-11,25,14.086
2001-11,26,14.22636364
2001-11,27,13.97714286
2001-11,28,13.705
2001-11,29,13.98266667
2001-11,29.5,13.895625
2001-11,30,13.97461538
2001-11,31,14.04428571
2001-11,32,14.025
2001-11,33,13.81214286
2001-11,34,13.815
2001-11,35,13.35375
2001-11,36,13.175
2001-11,649,13.43090909
2001-11,657,12.34
2001-12,21,11.30722222
2001-12,22,11.35666667
2001-12,23,11.400625
2001-12,24,11.424
2001-12,25,11.21
2001-12,26,11.113
2001-12,27,11.11416667
2001-12,28,11.09933333
2001-12,29,11.03714286
2001-12,29.5,11.07
2001-12,30,10.93642857
2001-12,31,10.97428571
2001-12,32,10.9
2001-12,33,10.77166667
2001-12,34,10.48857143
2001-12,35,10.85125
2001-12,36,10.76833333
2002-01,2,8.308181818
2002-01,3,8.765454545
2002-01,4,8.904375
2002-01,8,10.28470588
2002-01,9,10.38857143
2002-01,10,10.303125
2002-01,11,10.54571429
2002-01,13,10.42
2002-01,14,10.94857143
2002-01,15,10.98
2002-01,16,11.18615385
2002-01,17,11.04416667
2002-01,18,11.47025
2002-01,20,11.205
2002-01,21,10.834375
2002-01,22,10.88166667
2002-01,23,10.70857143
2002-01,24,10.513
2002-01,25,10.3975
2002-01,26,10.35636364
2002-01,27,10.40090909
2002-01,28,10.28357143
2002-01,29,10.27857143
2002-01,29.5,10.220625
2002-01,30,10.17923077
2002-01,31,10.01142857
2002-01,32,9.811666667
2002-01,33,9.621428571
2002-01,34,9.704
2002-01,35,9.6
2002-01,36,9.512857143
2002-01,649,8.031
2002-01,657,7.908888889
2002-02,21,10.64235294
2002-02,22,10.6
2002-02,23,10.57933333
2002-02,24,10.512
2002-02,25,10.52444444
2002-02,26,10.46
2002-02,27,10.4975
2002-02,28,10.58133333
2002-02,29,10.584
2002-02,29.5,10.53384615
2002-02,30,10.52214286
2002-02,31,10.35214286
2002-02,32,10.27153846
2002-02,33,10.25230769
2002-02,34,10.27142857
2002-02,35,10.34
2002-02,36,10.49833333
2002-03,2,11.73363636
2002-03,3,11.38333333
2002-03,4,11.27733333
2002-03,5,11.40416667
2002-03,6,11.93909091
2002-03,7,11.81875
2002-03,8,11.79266667
2002-03,9,11.75785714
2002-03,10,11.71411765
2002-03,11,11.78
2002-03,12,11.83
2002-03,13,11.954
2002-03,14,11.73153846
2002-03,15,11.60136364
2002-03,16,11.62583333
2002-03,17,11.45083333
2002-03,18,11.23238095
2002-03,20,11.87192308
2002-03,21,12.42569231
2002-03,22,12.51366197
2002-03,23,12.59433333
